numero_documento,nombre,apellido,numero_telefono,email,calle,ciudad,provincia
"3265122,Carlos,Rodríguez,+54 9 11 9771-3550,carlosrodriguez@gmail.com,Calle San Martín 456,La Plata,Bs As
"44610357,Nicole,Perrone,+54 9 11 7385-1112,nperrone@gmail.com,Calle Florida 567,NULL,CABA
"3579176,Camila,González,+54 9 11 8453-9038,camilagonzalez@gmail.com,Calle Sarmiento 4567,NULL,CABA
"3857266,Agustín,González,+54 9 11 9670-4082,agustingonzalez@gmail.com,Av. Libertador 678,Vicente López,Bs As
"3769891,Camila,García,+54 9 11 6163-1115,camilagarcia@gmail.com,Calle Thames 345,NULL,CABA
"43610357,Candela,Castillo,+54 9 11 7723-1693,castilloc@gmail.com,Calle Thames 345,NULL,CABA
"3098605,Lucía,García,+54 9 11 7359-5437,luciagarcia@gmail.com,Calle San Martín 456,La Plata,Bs As
"3853869,Martín,García,+54 9 11 8922-3380,martingarcia@gmail.com,Av. Santa Fe 2345,NULL,CABA
"3143768,Juan,Díaz,+54 9 11 6640-3748,juandiaz@gmail.com,Calle Thames 345,NULL,CABA
"3536530,Martín,González,+54 9 11 9698-4029,martingonzalez@gmail.com,Calle Maipú 234,San Isidro,Bs As
"3747449,Carlos,García,+54 9 11 8303-6321,carlosgarcia@gmail.com,Calle Florida 567,NULL,CABA
"3517827,Sofía,Sánchez,+54 9 11 7950-1642,sofiasanchez@gmail.com,Calle Thames 345,NULL,CABA
"3233977,Juan,Pérez,+54 9 11 6946-8339,juanperez@gmail.com,Calle Belgrano 789,Tigre,Bs As
"3618401,Manuela,Pazos,+54 9 11 9698-5111,mpazos@gmail.com,Av. Santa Fe 2345,NULL,CABA
"3380781,Agustín,Díaz,+54 9 11 8873-3547,agustindiaz@gmail.com,Calle Thames 345,NULL,CABA
"3359633,Carlos,Díaz,+54 9 11 9930-6036,carlosdiaz@gmail.com,Calle San Martín 456,La Plata,Bs As
"3414295,Lucía,Fernández,+54 9 11 7499-7982,luciafernandez@gmail.com,Calle Sarmiento 4567,NULL,CABA
"3342776,Sofía,Rodríguez,+54 9 11 6817-2774,sofiarodriguez@gmail.com,Calle Florida 567,NULL,CABA
"3071095,Valentina,Gómez,+54 9 11 6998-8977,valentinagomez@gmail.com,Av. Santa Fe 2345,NULL,CABA
"3184424,Joaquín,López,+54 9 11 7185-5966,joaquinlopez@gmail.com,Calle Thames 345,NULL,CABA
"3431051,Agustín,Sánchez,+54 9 11 9566-5140,agustinsanchez@gmail.com,Av. Santa Fe 2345,NULL,CABA
"3483317,Juan,Martínez,+54 9 11 9199-2180,juanmartinez@gmail.com,Av. Libertador 678,Vicente López,Bs As
"3697200,María,Sánchez,+54 9 11 9544-6199,mariasanchez@gmail.com,Calle Sarmiento 4567,NULL,CABA
"3313536,Zoe,Gómez,+54 9 11 7453-3585,zogomez@gmail.com,Av. Santa Fe 2345,NULL,CABA
"3172868,Camila,Martínez,+54 9 11 7158-3893,camilamartinez@gmail.com,Calle Florida 567,NULL,CABA
"3840339,Sofía,Gómez,+54 9 11 6329-2385,sofiagomez@gmail.com,Av. Libertador 678,Vicente López,Bs As
